figure_panel,tissue_dataset,regulator,heme_gene,spearman_R,p_value,data_source
Figure_4B,PCPG_Normal,H2AFZ,UROD,1.0,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,H2AFZ,UROS,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,ATAD2,ALAD,0.5,0.00019,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,ATAD2,ALAS1,-0.11,0.46,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,ATAD2,CPOX,0.63,5.3e-07,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,ATAD2,FECH,0.54,3.1e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,ATAD2,HMBS,0.3,0.033,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,ATAD2,PPOX,0.11,0.43,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,ATAD2,UROD,0.23,0.11,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,ATAD2,UROS,0.24,0.083,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,BRD2,ALAD,0.55,3.4e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,BRD2,ALAS1,0.27,0.05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,BRD2,CPOX,0.62,1.1e-06,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,BRD2,FECH,0.31,0.025,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,BRD2,HMBS,0.31,0.024,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,BRD2,PPOX,0.32,0.022,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,BRD2,UROD,0.086,0.55,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,BRD2,UROS,-0.081,0.57,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,BRD4,ALAD,0.3,0.031,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,BRD4,ALAS1,0.28,0.042,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,BRD4,CPOX,0.55,2.7e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,BRD4,FECH,0.36,0.0079,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,BRD4,HMBS,0.082,0.56,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,BRD4,PPOX,-0.19,0.18,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,BRD4,UROD,0.056,0.69,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,BRD4,UROS,0.055,0.7,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,H2AFZ,ALAD,-0.051,0.72,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,H2AFZ,ALAS1,-0.53,6.1e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,H2AFZ,CPOX,0.29,0.035,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,H2AFZ,FECH,0.4,0.0031,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,H2AFZ,HMBS,0.11,0.42,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,H2AFZ,PPOX,0.0005,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,H2AFZ,UROD,0.6,2e-06,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PRAD_Normal,H2AFZ,UROS,0.64,6.2e-07,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,ATAD2,ALAD,-0.018,0.97,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,ATAD2,ALAS1,0.9,0.00088,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,ATAD2,CPOX,0.43,0.22,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,ATAD2,FECH,-0.15,0.68,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,ATAD2,HMBS,0.22,0.54,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,ATAD2,PPOX,-0.49,0.15,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,ATAD2,UROD,-0.88,0.002,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,ATAD2,UROS,-0.39,0.26,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,BRD2,ALAD,0.87,0.0027,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,BRD2,ALAS1,0.13,0.73,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,BRD2,CPOX,0.62,0.06,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,BRD2,FECH,0.33,0.35,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,BRD2,HMBS,-0.68,0.035,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,BRD2,PPOX,0.5,0.14,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,BRD2,UROD,-0.15,0.68,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,BRD2,UROS,0.27,0.45,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,BRD4,ALAD,0.15,0.68,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,BRD4,ALAS1,0.59,0.08,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,BRD4,CPOX,0.042,0.92,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,BRD4,FECH,-0.055,0.89,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,BRD4,HMBS,0.18,0.63,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,BRD4,PPOX,-0.35,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,BRD4,UROD,-0.47,0.18,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,BRD4,UROS,-0.055,0.89,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,H2AFZ,ALAD,-0.7,0.031,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,H2AFZ,ALAS1,0.14,0.71,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,H2AFZ,CPOX,-0.38,0.28,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,H2AFZ,FECH,-0.33,0.35,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,H2AFZ,HMBS,0.71,0.028,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,H2AFZ,PPOX,-0.41,0.25,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,H2AFZ,UROD,0.0061,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,READ_Normal,H2AFZ,UROS,-0.22,0.54,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,ATAD2,ALAD,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,ATAD2,ALAS1,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,ATAD2,CPOX,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,ATAD2,FECH,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,ATAD2,HMBS,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,ATAD2,PPOX,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,ATAD2,UROD,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,ATAD2,UROS,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,BRD2,ALAD,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,BRD2,ALAS1,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,BRD2,CPOX,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,BRD2,FECH,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,BRD2,HMBS,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,BRD2,PPOX,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,BRD2,UROD,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,BRD2,UROS,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,BRD4,ALAD,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,BRD4,ALAS1,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,BRD4,CPOX,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,BRD4,FECH,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,BRD4,HMBS,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,BRD4,PPOX,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,BRD4,UROD,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,BRD4,UROS,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,H2AFZ,ALAD,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,H2AFZ,ALAS1,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,H2AFZ,CPOX,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,H2AFZ,FECH,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,H2AFZ,HMBS,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,H2AFZ,PPOX,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,H2AFZ,UROD,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SARC_Normal,H2AFZ,UROS,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,ATAD2,ALAD,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,ATAD2,ALAS1,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,ATAD2,CPOX,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,ATAD2,FECH,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,ATAD2,HMBS,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,ATAD2,PPOX,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,ATAD2,UROD,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,ATAD2,UROS,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,BRD2,ALAD,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,BRD2,ALAS1,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,BRD2,CPOX,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,BRD2,FECH,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,BRD2,HMBS,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,BRD2,PPOX,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,BRD2,UROD,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,BRD2,UROS,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,BRD4,ALAD,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,BRD4,ALAS1,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,BRD4,CPOX,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,BRD4,FECH,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,BRD4,HMBS,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,BRD4,PPOX,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,BRD4,UROD,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,BRD4,UROS,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,H2AFZ,ALAD,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,H2AFZ,ALAS1,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,H2AFZ,CPOX,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,H2AFZ,FECH,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,H2AFZ,HMBS,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,H2AFZ,PPOX,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,H2AFZ,UROD,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,SKCM_Normal,H2AFZ,UROS,,,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,ATAD2,ALAD,0.54,0.00076,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,ATAD2,ALAS1,0.2,0.24,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,ATAD2,CPOX,0.74,3.2e-07,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,ATAD2,FECH,0.62,7.8e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,ATAD2,HMBS,0.27,0.12,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,ATAD2,PPOX,0.54,6e-04,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,ATAD2,UROD,0.092,0.59,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,ATAD2,UROS,0.13,0.43,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,BRD2,ALAD,0.63,5.2e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,BRD2,ALAS1,-0.019,0.91,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,BRD2,CPOX,0.45,0.0053,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,BRD2,FECH,0.72,2e-06,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,BRD2,HMBS,-0.15,0.39,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,BRD2,PPOX,0.76,6.8e-08,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,BRD2,UROD,0.66,2.3e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,BRD2,UROS,0.52,0.0015,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,BRD4,ALAD,0.53,0.0012,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,BRD4,ALAS1,-0.17,0.32,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,BRD4,CPOX,0.5,0.0019,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,BRD4,FECH,0.74,1.2e-06,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,BRD4,HMBS,-0.39,0.02,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,BRD4,PPOX,0.78,1.6e-08,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,BRD4,UROD,0.55,0.00063,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,BRD4,UROS,0.39,0.021,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,H2AFZ,ALAD,-0.019,0.91,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,H2AFZ,ALAS1,-0.36,0.031,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,H2AFZ,CPOX,0.14,0.42,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,H2AFZ,FECH,0.35,0.035,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,H2AFZ,HMBS,0.21,0.21,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,H2AFZ,PPOX,0.56,0.00042,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,H2AFZ,UROD,0.42,0.01,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,STAD_Normal,H2AFZ,UROS,0.41,0.013,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,ATAD2,ALAD,0.24,0.068,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,ATAD2,ALAS1,0.072,0.59,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,ATAD2,CPOX,0.62,1.3e-07,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,ATAD2,FECH,0.4,0.0015,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,ATAD2,HMBS,-0.52,2.6e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,ATAD2,PPOX,-0.055,0.68,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,ATAD2,UROD,-0.36,0.005,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,ATAD2,UROS,-0.38,0.0027,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,BRD2,ALAD,0.61,3.7e-07,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,BRD2,ALAS1,0.5,5.7e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,BRD2,CPOX,0.45,0.00033,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,BRD2,FECH,0.62,1.4e-07,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,BRD2,HMBS,-0.032,0.81,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,BRD2,PPOX,0.15,0.25,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,BRD2,UROD,0.24,0.066,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,BRD2,UROS,0.21,0.11,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,BRD4,ALAD,0.45,0.00031,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,BRD4,ALAS1,0.31,0.016,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,BRD4,CPOX,0.35,0.0063,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,BRD4,FECH,0.44,0.00043,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,BRD4,HMBS,-0.23,0.084,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,BRD4,PPOX,-0.035,0.79●,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,BRD4,UROD,-0.023,0.86,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,BRD4,UROS,-0.12,0.35,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,H2AFZ,ALAD,-0.4,0.002,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,H2AFZ,ALAS1,-0.018,0.89,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,H2AFZ,CPOX,-0.018,0.89,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,H2AFZ,FECH,-0.19,0.14,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,H2AFZ,HMBS,-0.074,0.58,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,H2AFZ,PPOX,-0.16,0.22,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,H2AFZ,UROD,-0.35,0.0064,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THCA_Normal,H2AFZ,UROS,-0.14,0.29,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,ATAD2,ALAD,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,ATAD2,ALAS1,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,ATAD2,CPOX,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,ATAD2,FECH,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,ATAD2,HMBS,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,ATAD2,PPOX,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,ATAD2,UROD,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,ATAD2,UROS,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,BRD2,ALAD,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,BRD2,ALAS1,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,BRD2,CPOX,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,BRD2,FECH,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,BRD2,HMBS,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,BRD2,PPOX,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,BRD2,UROD,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,BRD2,UROS,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,BRD4,ALAD,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,BRD4,ALAS1,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,BRD4,CPOX,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,BRD4,FECH,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,BRD4,HMBS,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,BRD4,PPOX,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,BRD4,UROD,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,BRD4,UROS,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,H2AFZ,ALAD,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,H2AFZ,ALAS1,-1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,H2AFZ,CPOX,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,H2AFZ,FECH,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,H2AFZ,HMBS,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,H2AFZ,PPOX,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,H2AFZ,UROD,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,THYM_Normal,H2AFZ,UROS,1.0,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,ATAD2,ALAD,0.71,0.0081,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,ATAD2,ALAS1,-0.049,0.88,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,ATAD2,CPOX,0.9,0,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,ATAD2,FECH,0.5,0.085,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,ATAD2,HMBS,-0.44,0.14,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,ATAD2,PPOX,-0.16,0.6,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,ATAD2,UROD,0.1,0.74,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,ATAD2,UROS,-0.57,0.047,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,BRD2,ALAD,0.15,0.63,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,BRD2,ALAS1,0.16,0.6,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,BRD2,CPOX,0.53,0.067,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,BRD2,FECH,0.12,0.7,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,BRD2,HMBS,-0.082,0.79,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,BRD2,PPOX,0.25,0.4,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,BRD2,UROD,-0.53,0.064,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,BRD2,UROS,-0.48,0.097,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,BRD4,ALAD,0.53,0.067,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,BRD4,ALAS1,0.24,0.43,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,BRD4,CPOX,0.57,0.045,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,BRD4,FECH,0.23,0.45,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,BRD4,HMBS,-0.29,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,BRD4,PPOX,-0.3,0.32,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,BRD4,UROD,-0.093,0.76,GEPIA2 GTEx normal tissue RNA-seq
