figure_panel,tissue_dataset,regulator,heme_gene,spearman_R,p_value,data_source
Figure_4B,CESC_Normal,BRD4,UROS,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,H2AFZ,ALAD,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,H2AFZ,ALAS1,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,H2AFZ,CPOX,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,H2AFZ,FECH,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,H2AFZ,HMBS,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,H2AFZ,PPOX,-0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,H2AFZ,UROD,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,H2AFZ,UROS,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,ATAD2,ALAD,0.042,0.91,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,ATAD2,ALAS1,-0.075,0.85,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,ATAD2,CPOX,-0.11,0.78,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,ATAD2,FECH,0.025,0.95,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,ATAD2,HMBS,-0.43,0.25,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,ATAD2,PPOX,-0.35,0.35,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,ATAD2,UROD,-0.7,0.035,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,ATAD2,UROS,-0.33,0.38,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,BRD2,ALAD,-0.1,0.81,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,BRD2,ALAS1,0.75,0.025,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,BRD2,CPOX,-0.53,0.15,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,BRD2,FECH,-0.42,0.27,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,BRD2,HMBS,-0.4,0.29,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,BRD2,PPOX,-0.067,0.88,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,BRD2,UROD,-0.42,0.27,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,BRD2,UROS,-0.45,0.23,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,BRD4,ALAD,0.13,0.74,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,BRD4,ALAS1,0.72,0.037,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,BRD4,CPOX,0.18,0.64,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,BRD4,FECH,0.28,0.46,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,BRD4,HMBS,0.017,0.98,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,BRD4,PPOX,0.37,0.34,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,BRD4,UROD,0.1,0.81,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,BRD4,UROS,-0.18,0.64,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,H2AFZ,ALAD,-0.23,0.55,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,H2AFZ,ALAS1,0.38,0.31,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,H2AFZ,CPOX,0.067,0.88,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,H2AFZ,FECH,0.067,0.88,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,H2AFZ,HMBS,0.63,0.076,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,H2AFZ,PPOX,0.083,0.84,GEPIA2 GTEx normal tissue RNA-seq
