"phase","analysis","gene1","gene2","dataset","R","p_value","status","path"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","KICH_Tumor",0.27,"0.027","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__KICH_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","KIRC_Tumor",0.2,"3.1e-06","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__KIRC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","KIRP_Tumor",0.05,"0.4","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__KIRP_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","LAML_Tumor",0.19,"0.011","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__LAML_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","LGG_Tumor",0.16,"0.00034","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__LGG_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","LIHC_Tumor",-0.079,"0.13","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__LIHC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","LUAD_Tumor",0.093,"0.042","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__LUAD_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","LUSC_Tumor",0.24,"1.4e-07","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__LUSC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","MESO_Tumor",0.13,"0.22","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__MESO_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","OV_Tumor",0.35,"4.6e-14","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__OV_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","PAAD_Tumor",0.21,"0.0052","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__PAAD_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","PCPG_Tumor",0.31,"2.4e-05","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__PCPG_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","PRAD_Tumor",0.29,"7.8e-11","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__PRAD_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","READ_Tumor",0.25,"0.015","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__READ_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","SARC_Tumor",0.28,"3.5e-06","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__SARC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","SKCM_Tumor",0.16,"0.00051","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__SKCM_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","STAD_Tumor",0.3,"3.7e-10","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__STAD_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","TGCT_Tumor",0.24,"0.0056","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__TGCT_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","THCA_Tumor",0.03,"0.49","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__THCA_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","THYM_Tumor",0.066,"0.48","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__THYM_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","UCEC_Tumor",0.28,"0.00019","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__UCEC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","UCS_Tumor",0.52,"4.1e-05","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__UCS_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","UVM_Tumor",0.25,"0.024","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__UVM_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","ACC_Tumor",0.55,"1.9e-07","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__ACC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","BLCA_Tumor",0.5,"2.9e-27","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__BLCA_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","BRCA_Tumor",0.29,"3.6e-22","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__BRCA_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","CESC_Tumor",0.49,"7.3e-20","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__CESC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","CHOL_Tumor",0.45,"0.0057","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__CHOL_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","COAD_Tumor",0.42,"6.7e-13","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__COAD_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","DLBC_Tumor",0.79,"0","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__DLBC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","ESCA_Tumor",0.45,"1.2e-10","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__ESCA_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","GBM_Tumor",0.35,"4.2e-06","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__GBM_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","HNSC_Tumor",0.49,"4.4e-32","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__HNSC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","KICH_Tumor",0.54,"2.7e-06","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__KICH_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","KIRC_Tumor",0.57,"6.4e-47","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__KIRC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","KIRP_Tumor",0.63,"2.2e-33","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__KIRP_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","LAML_Tumor",0.33,"1.2e-05","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__LAML_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","LGG_Tumor",0.1,"0.019","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__LGG_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","LIHC_Tumor",0.34,"2.3e-11","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__LIHC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","LUAD_Tumor",0.39,"1.4e-18","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__LUAD_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","LUSC_Tumor",0.37,"7.2e-17","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__LUSC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","MESO_Tumor",0.65,"1.2e-11","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__MESO_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","OV_Tumor",0.25,"2.5e-07","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__OV_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","PAAD_Tumor",0.54,"1e-14","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__PAAD_Tumor__spearman.pdf"
